epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.3384,2.43693,4.37363,1.72902,0.00762,0.17502,0.01643,0.00799,1.91049,3.66933,1.35096,6.668e-05,6.668e-05,6.668e-05
2,201.902,1.9969,4.03218,1.42376,0.01489,0.43432,0.10928,0.04082,1.74735,3.51771,1.17972,0.000142604,0.000142604,0.000142604
3,315.232,1.87737,3.33997,1.25986,0.01859,0.53242,0.14142,0.05596,1.79836,3.40097,1.1477,0.000210275,0.000210275,0.000210275
4,428.683,1.7361,2.56146,1.16112,0.01939,0.57872,0.1527,0.06268,1.63753,3.30787,1.10172,0.000269696,0.000269696,0.000269696
5,625.498,1.67446,2.35651,1.1368,0.02092,0.59853,0.14159,0.0594,1.50174,3.30267,1.09756,0.000320864,0.000320864,0.000320864
6,712.255,1.62579,2.20877,1.16198,0.02183,0.61338,0.13024,0.05728,1.51198,3.28243,1.11211,0.000363781,0.000363781,0.000363781
7,775.333,1.60162,2.13091,1.13878,0.02256,0.64043,0.08915,0.04059,1.49993,3.30589,1.11654,0.000398446,0.000398446,0.000398446
8,833.826,1.59095,2.07427,1.07121,0.02216,0.63318,0.08111,0.03379,1.40695,3.29798,1.10946,0.00042486,0.00042486,0.00042486
9,971.565,1.5981,2.03701,1.1172,0.02098,0.59907,0.08073,0.03754,1.41363,3.22551,1.16135,0.000443022,0.000443022,0.000443022
