epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,32197.1,0.76227,0.87801,1.26283,0.7643,0.48187,0.6188,0.47838,0.54374,0.6219,0.66311,0.00639856,0.00639856,0.00639856
43,32919.8,0.72526,0.84465,1.2397,0.5839,0.70018,0.62795,0.47672,0.46635,0.59368,0.62414,0.00624721,0.00624721,0.00624721
44,33633,0.71063,0.84175,1.23063,0.57611,0.64116,0.61785,0.48606,0.48996,0.67002,0.64647,0.00609463,0.00609463,0.00609463
45,34347,0.73881,0.85591,1.24796,0.58133,0.60284,0.65085,0.48888,0.47592,0.6088,0.61378,0.00594097,0.00594097,0.00594097
46,35060,0.77302,0.87654,1.25904,0.56725,0.57489,0.59689,0.47446,0.49883,0.63275,0.63074,0.00578639,0.00578639,0.00578639
47,35769.6,0.72313,0.85148,1.24426,0.81249,0.508,0.6069,0.47383,0.44625,0.61537,0.58893,0.00563104,0.00563104,0.00563104
48,36487.6,0.72522,0.83783,1.2372,0.73377,0.48976,0.59482,0.47089,0.4883,0.6505,0.63539,0.00547507,0.00547507,0.00547507
49,37201.7,0.70837,0.81905,1.22303,0.60801,0.54657,0.61796,0.47696,0.46562,0.59033,0.58648,0.00531864,0.00531864,0.00531864
50,37914.4,0.67182,0.81396,1.20441,0.72178,0.50425,0.62955,0.47071,0.50535,0.56817,0.6155,0.0051619,0.0051619,0.0051619
51,38626.2,0.66054,0.77331,1.1985,0.70502,0.5195,0.65197,0.508,0.45945,0.5873,0.59059,0.005005,0.005005,0.005005
52,39333.7,0.69794,0.78441,1.2105,0.76787,0.46826,0.58899,0.48102,0.45874,0.60074,0.58333,0.0048481,0.0048481,0.0048481
53,40050.7,0.71142,0.83673,1.22494,0.76935,0.50425,0.63662,0.49264,0.49295,0.57125,0.61181,0.00469136,0.00469136,0.00469136
54,40766.5,0.68542,0.78437,1.20373,0.67609,0.63128,0.63521,0.49145,0.44334,0.55079,0.57026,0.00453493,0.00453493,0.00453493
